"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Italy (IT)","22.06.2015 18:00 - 22.06.2015 19:00 (CET/CEST)","274","n/e","n/e","N/A","5782","1457","207","n/e","n/e","638","401","","6678","1681","n/e","n/e","12243","n/e","2310","55","n/e","1233"
"Italy (IT)","22.06.2015 19:00 - 22.06.2015 20:00 (CET/CEST)","272","n/e","n/e","N/A","5921","1430","209","n/e","n/e","639","477","","7130","1957","n/e","n/e","12807","n/e","757","54","n/e","968"
"Italy (IT)","22.06.2015 20:00 - 22.06.2015 21:00 (CET/CEST)","278","n/e","n/e","N/A","6195","1404","210","n/e","n/e","640","506","","7007","1551","n/e","n/e","13271","n/e","74","51","n/e","851"
"Italy (IT)","22.06.2015 21:00 - 22.06.2015 22:00 (CET/CEST)","280","n/e","n/e","N/A","6098","1412","209","n/e","n/e","642","478","","6948","1509","n/e","n/e","13695","n/e","0","36","n/e","849"
"Italy (IT)","22.06.2015 22:00 - 22.06.2015 23:00 (CET/CEST)","280","n/e","n/e","N/A","5516","1404","194","n/e","n/e","641","443","1","5809","1109","n/e","n/e","13189","n/e","0","54","n/e","886"
"Italy (IT)","22.06.2015 23:00 - 23.06.2015 00:00 (CET/CEST)","277","n/e","n/e","N/A","4855","1405","194","n/e","n/e","633","388","1","5258","879","n/e","n/e","12028","n/e","0","55","n/e","1058"
"Italy (IT)","23.06.2015 00:00 - 23.06.2015 01:00 (CET/CEST)","279","n/e","n/e","N/A","4119","1432","139","n/e","n/e","627","17","1","4417","597","n/e","n/e","11016","n/e","0","54","n/e","1347"
"Italy (IT)","23.06.2015 01:00 - 23.06.2015 02:00 (CET/CEST)","282","n/e","n/e","N/A","3858","1383","135","n/e","n/e","636","105","65","3983","535","n/e","n/e","9814","n/e","0","57","n/e","1576"
"Italy (IT)","23.06.2015 02:00 - 23.06.2015 03:00 (CET/CEST)","279","n/e","n/e","N/A","3992","1373","135","n/e","n/e","640","0","145","3849","482","n/e","n/e","8870","n/e","0","57","n/e","1679"
"Italy (IT)","23.06.2015 03:00 - 23.06.2015 04:00 (CET/CEST)","281","n/e","n/e","N/A","3848","1308","136","n/e","n/e","640","0","224","3636","436","n/e","n/e","8565","n/e","0","57","n/e","1882"
