Date,€/MWh
16/05/2016,34.803882
17/05/2016,35.871357
18/05/2016,37.936311
19/05/2016,37.739128
20/05/2016,35.114346
21/05/2016,25.592288
22/05/2016,28.656995
23/05/2016,32.579072
24/05/2016,29.981025
25/05/2016,34.600793
26/05/2016,39.841302
27/05/2016,37.556606
28/05/2016,31.579607
29/05/2016,31.586719
30/05/2016,40.126005
31/05/2016,38.792665
01/06/2016,42.196417
02/06/2016,33.531614
03/06/2016,40.007567
04/06/2016,37.853042
05/06/2016,36.553720
06/06/2016,38.023907
07/06/2016,40.845650
08/06/2016,39.130500
09/06/2016,41.414504
10/06/2016,40.724513
11/06/2016,32.267872
12/06/2016,29.658325
13/06/2016,34.840717
14/06/2016,32.878832
15/06/2016,37.896653
16/06/2016,34.096806
17/06/2016,31.645413
18/06/2016,31.109341
19/06/2016,29.206695
20/06/2016,35.221276
21/06/2016,36.360121
22/06/2016,39.784002
23/06/2016,36.760661
24/06/2016,45.400179
25/06/2016,32.060367
26/06/2016,31.100921
27/06/2016,39.678351
28/06/2016,37.209725
29/06/2016,38.890053
30/06/2016,47.424306
01/07/2016,41.251936
02/07/2016,44.477247
03/07/2016,35.164609
04/07/2016,46.174587
05/07/2016,45.036513
06/07/2016,44.984172
07/07/2016,45.965893
08/07/2016,47.948601
09/07/2016,38.709370
10/07/2016,38.843136
11/07/2016,54.237264
12/07/2016,71.746970
13/07/2016,49.056646
14/07/2016,42.883245
15/07/2016,39.529924
16/07/2016,29.737140
17/07/2016,29.073434
18/07/2016,39.585561
19/07/2016,40.798203
20/07/2016,40.957159
21/07/2016,46.565120
22/07/2016,42.813293
23/07/2016,42.485044
24/07/2016,37.538568
25/07/2016,43.498642
26/07/2016,43.365940
27/07/2016,42.473358
28/07/2016,43.714241
29/07/2016,41.271221
30/07/2016,39.371669
31/07/2016,39.102904
01/08/2016,40.356765
02/08/2016,40.898157
03/08/2016,40.874566
04/08/2016,41.322375
05/08/2016,40.677582
06/08/2016,36.963570
07/08/2016,33.487890
08/08/2016,39.146467
09/08/2016,37.195371
10/08/2016,34.005108
11/08/2016,36.084676
12/08/2016,33.781233
13/08/2016,30.168770
14/08/2016,31.774445
15/08/2016,34.290232
16/08/2016,38.263737
17/08/2016,36.199515
18/08/2016,35.045942
19/08/2016,37.674933
20/08/2016,34.959051
21/08/2016,36.848081
22/08/2016,35.636083
23/08/2016,34.152047
24/08/2016,35.353809
25/08/2016,34.776509
26/08/2016,38.864452
27/08/2016,36.636642
28/08/2016,36.062863
29/08/2016,41.431553
30/08/2016,42.386797
31/08/2016,44.144150
01/09/2016,48.228873
02/09/2016,49.779437
03/09/2016,39.940810
04/09/2016,36.897625
05/09/2016,44.256665
06/09/2016,45.448332
07/09/2016,59.958437
08/09/2016,46.622817
09/09/2016,41.529002
10/09/2016,37.376907
11/09/2016,35.675082
12/09/2016,45.737867
13/09/2016,45.591268
14/09/2016,44.315869
15/09/2016,45.974335
16/09/2016,44.023675
17/09/2016,37.889554
18/09/2016,34.295406
19/09/2016,39.604403
20/09/2016,41.863897
21/09/2016,43.115216
22/09/2016,41.788916
23/09/2016,44.956581
24/09/2016,39.250505
25/09/2016,36.480545
26/09/2016,42.614098
27/09/2016,42.932764
28/09/2016,44.215616
29/09/2016,42.937466
30/09/2016,43.506831
01/10/2016,45.735712
02/10/2016,39.502977
03/10/2016,45.414233
04/10/2016,45.221147
05/10/2016,45.549147
06/10/2016,50.150769
07/10/2016,53.531001
08/10/2016,44.084795
09/10/2016,41.149258
10/10/2016,52.280266
11/10/2016,58.842783
12/10/2016,54.744024
13/10/2016,56.207022
