date,total_res_mw,solar_mw,wind_mw,hydro_mw,biomass_mw,geothermal_mw,is_outlier,year,month,day,price_eur_mwh
2016-07-08,11376.333333333334,2990.8333333333335,608.1666666666666,6880.791666666667,277.875,618.6666666666666,False,2016,7,8,47.948601
2016-07-09,10085.083333333334,3069.9166666666665,540.375,5541.875,288.5416666666667,644.375,False,2016,7,9,38.70937
2016-07-10,9591.083333333334,2985.5,242.83333333333334,5456.875,254.20833333333334,651.6666666666666,False,2016,7,10,38.843136
2016-07-11,10777.833333333334,3094.8333333333335,211.29166666666666,6556.958333333333,266.2083333333333,648.5416666666666,False,2016,7,11,54.237264
2016-07-12,11735.583333333334,2985.5833333333335,496.4583333333333,7337.625,278.4583333333333,637.4583333333334,False,2016,7,12,71.74697
2016-07-13,12595.25,2930.2916666666665,1876.9583333333333,6885.291666666667,297.25,605.4583333333334,False,2016,7,13,49.056646
2016-07-14,13916.333333333334,3166.2083333333335,3268.75,6530.625,300.25,650.5,False,2016,7,14,42.883245
2016-07-15,12552.916666666666,2471.4166666666665,2923.2916666666665,6185.333333333333,309.4166666666667,663.4583333333334,False,2016,7,15,39.529924
2016-07-16,13140.291666666666,2872.4166666666665,3918.3333333333335,5393.166666666667,280.3333333333333,676.0416666666666,False,2016,7,16,29.73714
2016-07-17,11485.791666666666,3225.7916666666665,2479.7083333333335,4818.333333333333,287.25,674.7083333333334,False,2016,7,17,29.073434
2016-07-18,12453.083333333334,3323.5416666666665,1951.9583333333333,6215.458333333333,291.75,670.375,False,2016,7,18,39.585561
2016-07-19,12958.416666666666,3276.1666666666665,2180.5833333333335,6516.083333333333,318.5833333333333,667.0,False,2016,7,19,40.798203
2016-07-20,12670.416666666666,3284.4166666666665,1851.7916666666667,6549.916666666667,319.625,664.6666666666666,False,2016,7,20,40.957159
2016-07-21,11006.25,3039.9583333333335,603.9166666666666,6372.333333333333,314.0833333333333,675.9583333333334,False,2016,7,21,46.56512
2016-07-22,11510.875,2980.875,929.375,6616.25,308.375,676.0,False,2016,7,22,42.813293
2016-07-23,9565.916666666666,2264.5833333333335,654.9583333333334,5665.25,309.5,671.625,False,2016,7,23,42.485044
2016-07-24,8785.0,2329.7083333333335,731.0833333333334,4769.416666666667,284.8333333333333,669.9583333333334,False,2016,7,24,37.538568
2016-07-25,10350.208333333334,2680.7083333333335,820.25,5899.5,282.7916666666667,666.9583333333334,False,2016,7,25,43.498642
2016-07-26,10976.416666666666,2774.5416666666665,1334.9166666666667,5924.708333333333,281.875,660.375,False,2016,7,26,43.36594
2016-07-27,10341.416666666666,2747.875,705.9583333333334,5978.125,280.5416666666667,628.9166666666666,False,2016,7,27,42.473358
2016-07-28,9858.541666666666,2660.2083333333335,662.0833333333334,5609.25,289.3333333333333,637.6666666666666,False,2016,7,28,43.714241
2016-07-29,10056.625,3023.4166666666665,541.0833333333334,5557.083333333333,294.25,640.7916666666666,False,2016,7,29,41.271221
2016-07-30,9111.208333333334,3042.0833333333335,519.2083333333334,4592.708333333333,286.2083333333333,671.0,False,2016,7,30,39.371669
2016-07-31,9287.625,2838.0416666666665,1051.2083333333333,4437.75,294.0,666.625,False,2016,7,31,39.102904
2016-08-01,11228.958333333334,2668.2083333333335,2217.4166666666665,5385.416666666667,318.0416666666667,639.875,False,2016,8,1,40.356765
2016-08-02,10924.5,2907.5833333333335,1624.125,5414.125,321.3333333333333,657.3333333333334,False,2016,8,2,40.898157
2016-08-03,10494.125,3077.8333333333335,1339.9166666666667,5129.875,282.0,664.5,False,2016,8,3,40.874566
2016-08-04,9880.625,3064.5,541.25,5307.791666666667,295.0833333333333,672.0,False,2016,8,4,41.322375
2016-08-05,10269.375,2357.0,1361.25,5634.25,292.75,624.125,False,2016,8,5,40.677582
2016-08-06,10756.375,2684.0416666666665,1831.5,5286.541666666667,287.3333333333333,666.9583333333334,False,2016,8,6,36.96357
2016-08-07,11312.625,2595.625,3179.9583333333335,4582.291666666667,278.9583333333333,675.7916666666666,False,2016,8,7,33.48789
2016-08-08,10914.083333333334,2988.2083333333335,1987.375,4959.5,303.2916666666667,675.7083333333334,False,2016,8,8,39.146467
2016-08-09,9973.333333333334,2959.5,992.2083333333334,5049.5,295.5,676.625,False,2016,8,9,37.195371
2016-08-10,11327.208333333334,2788.1666666666665,2315.5,5254.5,299.2916666666667,669.75,False,2016,8,10,34.005108
2016-08-11,11043.25,2804.8333333333335,1777.8333333333333,5488.583333333333,299.125,672.875,False,2016,8,11,36.084676
2016-08-12,12530.75,3109.9166666666665,3273.75,5155.375,312.2083333333333,679.5,False,2016,8,12,33.781233
2016-08-13,11371.791666666666,3180.5416666666665,2459.9583333333335,4747.208333333333,310.0,674.0833333333334,False,2016,8,13,30.16877
2016-08-14,9348.458333333334,3137.6666666666665,690.1666666666666,4518.75,330.4583333333333,671.4166666666666,False,2016,8,14,31.774445
2016-08-15,9299.333333333334,3108.7916666666665,430.7083333333333,4778.041666666667,311.25,670.5416666666666,False,2016,8,15,34.290232
2016-08-16,9785.458333333334,3044.1666666666665,689.7083333333334,5080.125,299.875,671.5833333333334,False,2016,8,16,38.263737
2016-08-17,9436.375,2676.0833333333335,1430.9166666666667,4352.5,306.3333333333333,670.5416666666666,False,2016,8,17,36.199515
2016-08-18,9008.0,2582.7083333333335,996.25,4478.125,285.5416666666667,665.375,False,2016,8,18,35.045942
2016-08-19,9303.0,2689.25,927.375,4722.875,294.9166666666667,668.5833333333334,False,2016,8,19,37.674933
2016-08-20,8275.666666666666,2646.5416666666665,336.5833333333333,4321.125,304.3333333333333,667.0833333333334,False,2016,8,20,34.959051
2016-08-21,8697.416666666666,2813.125,685.6666666666666,4237.541666666667,293.625,667.4583333333334,False,2016,8,21,36.848081
2016-08-22,11249.291666666666,2940.8333333333335,2905.875,4457.75,275.7083333333333,669.125,False,2016,8,22,35.636083
2016-08-23,12480.708333333334,2848.9583333333335,3990.25,4671.666666666667,297.3333333333333,672.5,False,2016,8,23,34.152047
2016-08-24,12091.583333333334,2960.4166666666665,3562.7083333333335,4605.541666666667,300.8333333333333,662.0833333333334,False,2016,8,24,35.353809
2016-08-25,10958.25,3060.875,2348.5833333333335,4568.625,309.8333333333333,670.3333333333334,False,2016,8,25,34.776509
2016-08-26,9339.875,2993.3333333333335,1055.4166666666667,4307.833333333333,313.0833333333333,670.2083333333334,False,2016,8,26,38.864452
2016-08-27,8274.708333333334,3015.4583333333335,458.125,3829.2916666666665,298.75,673.0833333333334,False,2016,8,27,36.636642
2016-08-28,8409.208333333334,3022.4166666666665,466.7916666666667,3936.7083333333335,309.3333333333333,673.9583333333334,False,2016,8,28,36.062863
2016-08-29,9885.583333333334,2913.0833333333335,931.375,5063.875,308.0833333333333,669.1666666666666,False,2016,8,29,41.431553
2016-08-30,9068.458333333334,2430.875,368.375,5286.625,314.0416666666667,668.5416666666666,False,2016,8,30,42.386797
2016-08-31,9156.333333333334,2481.5416666666665,503.5,5213.125,292.125,666.0416666666666,False,2016,8,31,44.14415
2016-09-01,9635.125,2689.1666666666665,580.75,5444.375,249.79166666666666,671.0416666666666,False,2016,9,1,48.228873
2016-09-02,10232.125,2813.7083333333335,1297.8333333333333,5192.583333333333,260.1666666666667,667.8333333333334,False,2016,9,2,49.779437
2016-09-03,8877.416666666666,2821.7083333333335,1343.125,3772.875,267.9166666666667,671.7916666666666,False,2016,9,3,39.94081
2016-09-04,7843.041666666667,2693.7083333333335,730.625,3466.9583333333335,281.9583333333333,669.7916666666666,False,2016,9,4,36.897625
2016-09-05,10590.958333333334,2067.5833333333335,2975.0,4593.791666666667,289.3333333333333,665.25,False,2016,9,5,44.256665
2016-09-06,11684.416666666666,2348.6666666666665,3837.375,4516.875,310.5833333333333,670.9166666666666,False,2016,9,6,45.448332
2016-09-07,8702.291666666666,1845.0833333333333,1288.8333333333333,4574.666666666667,331.0,662.7083333333334,False,2016,9,7,59.958437
2016-09-08,9412.125,2222.9166666666665,1941.8333333333333,4250.666666666667,336.5,660.2083333333334,False,2016,9,8,46.622817
2016-09-09,9077.166666666666,2244.0,1648.9166666666667,4172.666666666667,350.5416666666667,661.0416666666666,False,2016,9,9,41.529002
2016-09-10,6953.75,2145.7083333333335,586.7916666666666,3232.9583333333335,324.0416666666667,664.25,False,2016,9,10,37.376907
2016-09-11,6454.625,2019.125,538.4166666666666,2922.5,310.7083333333333,663.875,False,2016,9,11,35.675082
2016-09-12,7811.333333333333,2256.5,553.4166666666666,4043.7083333333335,310.125,647.5833333333334,False,2016,9,12,45.737867
2016-09-13,7754.666666666667,2342.0833333333335,267.5833333333333,4188.041666666667,308.2916666666667,648.6666666666666,False,2016,9,13,45.591268
2016-09-14,7775.708333333333,2518.7916666666665,217.04166666666666,4097.833333333333,284.5833333333333,657.4583333333334,False,2016,9,14,44.315869
2016-09-15,7740.166666666667,1785.875,665.5416666666666,4345.833333333333,288.7916666666667,654.125,False,2016,9,15,45.974335
2016-09-16,7899.625,1464.4166666666667,1365.2083333333333,4130.708333333333,290.0833333333333,649.2083333333334,False,2016,9,16,44.023675
2016-09-17,9806.875,2409.125,2865.9583333333335,3566.1666666666665,297.875,667.75,False,2016,9,17,37.889554
2016-09-18,8257.791666666666,1999.125,2153.8333333333335,3124.0,309.9166666666667,670.9166666666666,False,2016,9,18,34.295406
2016-09-19,9036.458333333334,2181.4583333333335,2248.4166666666665,3656.4583333333335,295.875,654.25,False,2016,9,19,39.604403
2016-09-20,8554.916666666666,2406.0,1559.7083333333333,3650.375,290.4166666666667,648.4166666666666,False,2016,9,20,41.863897
2016-09-21,7006.208333333333,1487.3333333333333,871.0833333333334,3698.7916666666665,300.125,648.875,False,2016,9,21,43.115216
