date,total_res_mw,solar_mw,wind_mw,hydro_mw,biomass_mw,geothermal_mw,is_outlier,year,month,day
2020-04-27,11600.708333333334,3377.375,1101.8333333333333,5812.333333333333,650.0,659.1666666666666,False,2020,4,27
2020-04-28,12253.75,2157.5833333333335,2968.3333333333335,5833.958333333333,641.2083333333334,652.6666666666666,False,2020,4,28
2020-04-29,14415.125,3134.8333333333335,4353.583333333333,5641.583333333333,624.75,660.375,False,2020,4,29
2020-04-30,13739.333333333334,3158.9166666666665,3119.25,6136.958333333333,664.25,659.9583333333334,False,2020,4,30
2020-05-01,12673.041666666666,2719.75,3267.4583333333335,5358.041666666667,667.6666666666666,660.125,False,2020,5,1
2020-05-02,13285.541666666666,3156.5,3249.5833333333335,5555.666666666667,666.5833333333334,657.2083333333334,False,2020,5,2
2020-05-03,12617.875,3559.625,2576.75,5161.083333333333,662.4583333333334,657.9583333333334,False,2020,5,3
2020-05-04,13003.875,3898.1666666666665,2040.9583333333333,5744.375,666.0,654.375,False,2020,5,4
2020-05-05,12412.916666666666,3282.9166666666665,2455.4583333333335,5385.958333333333,643.3333333333334,645.25,False,2020,5,5
2020-05-06,12032.875,2829.6666666666665,2597.5,5314.583333333333,655.125,636.0,False,2020,5,6
2020-05-07,13602.375,3864.0416666666665,3143.2916666666665,5309.166666666667,648.125,637.75,False,2020,5,7
2020-05-08,11642.25,3701.5833333333335,832.7916666666666,5798.041666666667,670.25,639.5833333333334,False,2020,5,8
2020-05-09,11656.375,3664.9583333333335,1123.25,5569.75,651.3333333333334,647.0833333333334,False,2020,5,9
2020-05-10,11107.583333333334,2759.9166666666665,1486.0416666666667,5575.416666666667,640.2083333333334,646.0,False,2020,5,10
2020-05-11,13546.375,2605.3333333333335,3319.625,6347.0,628.375,646.0416666666666,False,2020,5,11
2020-05-12,14509.833333333334,3081.3333333333335,3332.5833333333335,6805.041666666667,644.2083333333334,646.6666666666666,False,2020,5,12
2020-05-13,14091.375,2139.4166666666665,3367.75,7278.166666666667,669.2083333333334,636.8333333333334,False,2020,5,13
2020-05-14,14609.791666666666,2649.6666666666665,3752.1666666666665,6911.208333333333,669.0833333333334,627.6666666666666,False,2020,5,14
2020-05-15,14162.666666666666,2434.4166666666665,3354.3333333333335,7051.5,673.1666666666666,649.25,False,2020,5,15
2020-05-16,13053.875,2055.2083333333335,2310.5,7343.708333333333,690.3333333333334,654.125,False,2020,5,16
2020-05-17,12412.166666666666,2935.7916666666665,1249.3333333333333,6921.5,656.2916666666666,649.25,False,2020,5,17
2020-05-18,13071.666666666666,2112.9166666666665,2107.8333333333335,7593.583333333333,607.7083333333334,649.625,False,2020,5,18
2020-05-19,12622.958333333334,2214.0416666666665,1352.375,7782.791666666667,625.1666666666666,648.5833333333334,False,2020,5,19
2020-05-20,13806.666666666666,2271.6666666666665,2224.75,8010.083333333333,652.875,647.2916666666666,False,2020,5,20
2020-05-21,16782.916666666668,3430.5833333333335,4431.0,7608.916666666667,667.2916666666666,645.125,False,2020,5,21
2020-05-22,15190.583333333334,3576.9583333333335,2625.8333333333335,7666.166666666667,673.6666666666666,647.9583333333334,False,2020,5,22
